City,State,County,lat,lng,street_view_update,county
Christopher,IL,38.54232483640168,-90.00790614246863,29.5
Kampsville,IL,39.298740000000066,-90.61067999999995,33
Millstadt,IL,38.4580629811612,-90.10276432728202,31
Hickory Hills,IL,38.48995080257666,-89.89855993015733,46
Strasburg,IL,39.35261266268148,-88.62388433040717,14
Barstow,IL,41.519563572312386,-90.35043365737806,94
Mokena,IL,41.53087190431349,-87.88584123998756,9
Viola,IL,38.320510500000005,-88.90928775,55.5
Equality,IL,37.7599852992042,-88.3370930933245,69
Elizabethtown,IL,37.45093000000003,-88.30157999999994,13
Irving,IL,39.83702258148409,-88.89767699175712,85
Carrier Mills,IL,41.027349939980496,-89.04955298250056,72.5
Wyanet,IL,41.55414314193573,-89.584461577488,69.5
Perry,IL,37.44501397226779,-88.43992580341414,80.33333333333333
Robbins,IL,41.87740049999999,-88.15301099999999,39.2
Harmon,IL,39.55742099999999,-88.530813,88
Mason,IL,42.47834245141542,-90.25113603634041,43.25
Leland,IL,38.685069,-89.96152275,66
Homer Glen,IL,41.63882887861668,-88.09405350573844,30.666666666666668
Beason,IL,38.999327089048435,-89.57377920627897,65.66666666666667
Gladstone,IL,40.25448900000001,-91.18466329738534,54.4
Peotone,IL,41.32114765569945,-88.05556761072144,40
Willow Hill,IL,41.77544164672821,-87.95442960731265,55.8
Charleston,IL,38.66798809725248,-88.92443571057036,56.5
Teutopolis,IL,39.13282000000004,-88.47566999999998,68
Princeton,IL,38.656426039374175,-90.05068049833375,47.5
Witt,IL,39.23204106893045,-89.34515063762696,61
Woosung,IL,41.91670330029703,-89.52060014204612,13
Roselle,IL,41.97319186813999,-88.0803225,8.4
Ivesdale,IL,39.94500000000005,-88.45707999999996,13
Alvin,IL,42.0782720123076,-87.81235705067307,70.2
Effingham,IL,38.75481030118784,-89.09483703900112,70.33333333333333
Beckemeyer,IL,38.537032536223506,-89.464482,96.75
Tennessee,IL,39.533027443160115,-88.01764410556841,74.75
Winthrop Harbor,IL,39.74383350000001,-90.2469285,52
Tamaroa,IL,39.5851352283164,-89.56804305804928,41
Peoria,IL,38.61607111008405,-89.91734687236891,41.5
Golden Eagle,IL,38.34034161336494,-90.26119908473879,51.5
Deer Grove,IL,38.11447211902531,-89.69945944807611,42.5
Brookfield,IL,38.309806281524644,-90.16083882642468,58
Findlay,IL,39.521359771250246,-88.72689526418328,43
Divernon,IL,39.56730070658395,-89.6882808116826,73
Princeville,IL,40.936316580050836,-89.75281237735621,12
Nachusa,IL,41.80438656314932,-89.3804805,81
Morton Grove,IL,38.331873012472435,-88.99503299999999,49.333333333333336
Valier,IL,48.30286442098172,-112.24862773436038,124
Ashton,IL,39.052999112602215,-90.13992747070496,43
Scott Air Force Base,IL,38.53376113522997,-89.83480358288725,24
Stockland,IL,40.61557000000005,-87.59300999999994,119
Wrights,IL,39.35272669956995,-90.2963016585663,11
Gurnee,IL,42.37434167278376,-87.9340479670888,68
Villa Park,IL,42.035150000000044,-88.27982999999995,25
Seaton,IL,41.56139248591643,-88.28690177675877,57.4
Fenton,IL,39.83297910590884,-88.90438012686548,82
Oakwood,IL,40.0185225,-89.815248,72.4
New Athens,IL,38.32706883642776,-89.87577289032168,50
Loraine,IL,41.58578178262473,-88.9271325,89.66666666666667
Dolton,IL,41.889384,-88.10116199999999,33
Posen,IL,38.25842190503734,-89.30731075408217,7
Camp Point,IL,38.77667638730291,-88.50704030869288,81.5
Chandlerville,IL,40.01975928937897,-90.34358630051987,69.5
Oswego,IL,41.91800970806149,-88.15152950326211,22.5
Arrowsmith,IL,40.45258000000007,-88.63160999999997,22.5
Logan,IL,39.5458687072997,-82.38844790243581,125.5
Evergreen Park,IL,42.03747000000004,-88.09429999999998,40.4
Quincy,IL,38.89166146049237,-90.17131450223809,40.333333333333336
Chicago Ridge,IL,38.504809786017475,-89.13762910811515,47.6
Woodhull,IL,41.17667000000006,-90.31247999999994,11
Gorham,IL,41.804253,-88.30813275,60.8
Woodland,IL,42.210300000000075,-88.10479999999995,70.5
Greenville,IL,38.24052266579666,-88.71224950436867,50
Palmer,IL,39.186406094331346,-89.66962367094162,48
Worden,IL,41.9945668961447,-88.03565037131013,50
Redmon,IL,39.64470000000006,-87.86117999999999,72
Concord,IL,38.58611850000001,-90.0650835,34
Keensburg,IL,38.34997000000004,-87.87033999999994,72.25
Cisco,IL,40.01237090322795,-88.72310145123787,42.2
Arthur,IL,38.55901159159379,-90.20315411094592,47.2
Bluford,IL,38.31049708421701,-88.74746999999999,123
Baileyville,IL,42.220678036852135,-89.59083858837799,82
Carrollton,IL,38.96237780374985,-90.38346195812277,73
Patoka,IL,38.75410000000005,-89.08723999999995,13
Colp,IL,37.805534665865025,-89.08198709572554,72.4
Kaneville,IL,41.88573707122261,-88.32916828128346,22.5
Melvin,IL,37.89544417362406,-88.86349445785564,53.333333333333336
Browning,IL,40.72597200000001,-89.44976700000001,76
Mason City,IL,43.15717536753646,-93.17126993986543,60.2
Genoa,IL,42.1606845,-88.76916675,30
Highland Park,IL,38.74974000000003,-89.68480999999997,48.666666666666664
Algonquin,IL,38.82391392008987,-89.54760000599326,59.5
Stonefort,IL,37.65822578573652,-88.76549003147925,72.33333333333333
Georgetown,IL,38.74176459671096,-90.07461898590078,30.333333333333332
Erie,IL,41.6361591179556,-90.06301344281742,77.2
Dalton City,IL,39.80236050678381,-88.81478880418648,64
Gibson City,IL,40.45540950950861,-88.36425,10
Williamsfield,IL,40.922390000000064,-90.01420999999999,94
Ipava,IL,40.352543921090316,-90.32140519275559,39
